# Truth table
# Generated from circuit PLA_ALL
# Exported on Sat Oct 03 17:57:30 CEST 2020

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

 M[1..0] I[4..0] | PF[3..0] GS[1..0] CS[2..0] SL[1..0] BR[1..0] SHR CMP P2 SH1   A_M SHL8 SHR8 EXT SEXT   R_A SP_A PC_A R_B K_B  ALUQ M_Q D_Q   WRRD WRSP WRSR WMAR WPMAR  HLT NXT NEXT[3..0]
    10    01001  |   1100     00       000      00       00      0   0  0   0     0   0    1    1    1     1   0   0     0   1     1   0   0     0    0    0    1    0      0    1   0001     #movsb_ar,
    10    01010  |   1100     00       000      00       00      0   0  0   1     0   0    x    x    x     1   0   0     0   1     1   0   0     0    0    0    1    0      0    1   0100     #movw_ra,
    10    01011  |   1100     00       000      00       00      0   0  0   0     0   1    x    x    x     1   0   0     0   1     1   0   0     0    0    0    1    0      0    1   0100     #movb_ra,
    10    01100  |   1100     00       000      00       00      0   0  0   0     0   0    0    0    x     1   0   0     0   1     1   0   0     1    0    0    0    0      0    0   0000     #mov_kr,
    10    01101  |   1001     01       001      00       00      0   0  0   0     0   0    0    0    x     1   0   0     0   1     1   0   0     1    0    1    0    0      0    0   0000     #sub_kr,
    10    01110  |   0110     10       000      00       00      0   0  0   0     0   0    0    0    x     1   0   0     0   1     1   0   0     1    0    1    0    0      0    0   0000     #add_kr,
    10    01111  |   0110     10       000      00       00      0   0  0   1     0   0    0    0    x     0   1   0     0   1     1   0   0     1    0    0    0    0      0    0   0000     #lea_qr,
    10    10000  |   0110     10       000      00       00      0   0  0   1     0   0    0    0    x     0   1   0     0   1     1   0   0     0    0    0    1    0      0    1   0001     #movw_qr,
    10    10001  |   0110     10       000      00       00      0   0  0   0     0   0    1    1    1     0   1   0     0   1     1   0   0     0    0    0    1    0      0    1   0001     #movsb_qr,
    10    10010  |   0110     10       000      00       00      0   0  0   1     0   0    x    x    x     0   1   0     0   1     1   0   0     0    0    0    1    0      0    1   0100     #movw_rq,
    10    10011  |   0110     10       000      00       00      0   0  0   0     0   1    x    x    x     0   1   0     0   1     1   0   0     0    0    0    1    0      0    1   0100     #movb_rq,
    10    10100  |   1001     01       001      00       00      0   1  0   0     0   0    0    0    x     1   0   0     0   1     1   0   0     0    0    1    0    0      0    0   0000     #cmp_crk,
    10    10101  |   1001     01       100      00       00      0   1  0   0     0   0    0    0    x     1   0   0     0   1     1   0   0     0    0    1    0    0      0    0   0000     #cmpc_crk,
    10    10110  |   1000     00       000      00       00      0   0  0   0     0   0    0    0    x     1   0   0     0   1     1   0   0     1    0    1    0    0      0    0   0000     #and_kr,
    10    10111  |   0110     10       000      00       00      0   0  0   0     0   0    0    0    x     1   0   0     0   1     1   0   0     1    0    0    0    0      0    0   0000     #lea_mr,
    10    11000  |   0110     10       000      00       00      0   0  0   1     0   0    0    0    x     1   0   0     0   1     1   0   0     0    0    0    1    0      0    1   0001     #movw_mr,
    10    11001  |   0110     10       000      00       00      0   0  0   0     0   0    1    1    1     1   0   0     0   1     1   0   0     0    0    0    1    0      0    1   0001     #movsb_mr,
    10    11010  |   0110     10       000      00       00      0   0  0   1     0   0    x    x    x     1   0   0     0   1     1   0   0     0    0    0    1    0      0    1   0100     #movw_rm,
    10    11011  |   0110     10       000      00       00      0   0  0   0     0   1    x    x    x     1   0   0     0   1     1   0   0     0    0    0    1    0      0    1   0100     #movb_rm,
    10    11100  |   xxxx     00       000      00       00      0   0  0   0     0   0    0    0    x     0   0   0     0   0     0   0   0     0    0    0    0    0      0    0   0000     #reserved,
    10    11101  |   xxxx     00       000      00       00      0   0  0   0     0   0    0    0    x     0   0   0     0   0     0   0   0     0    0    0    0    0      0    0   0000     #reserved,
    10    11110  |   0101     11       000      00       00      0   0  1   0     0   0    0    0    x     0   1   0     1   0     1   0   0     0    1    0    1    0      0    1   0110     #call_k,
    10    11111  |   1010     00       000      00       00      0   0  0   0     0   0    0    0    x     0   0   0     0   0     0   0   0     0    0    0    0    0      0    0   0000     #_pfix,
#M[1..0] I[4..0] | PF[3..0] GS[1..0] CS[2..0] SL[1..0] BR[1..0] SHR CMP P2 SH1   A_M SHL8 SHR8 EXT SEXT   R_A SP_A PC_A R_B K_B  ALUQ M_Q D_Q   WRRD WRSP WRSR WMAR WPMAR  HLT  NXT NEXT[3..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    11    00000  |   1010     00       000      00       00      0   0  0   0     0   0    0    0    x     0   0   0     0   0     0   0   0     0    0    0    0    0      0    0   0000     #wait,
    11    00001  |   1010     00       000      00       00      0   0  0   0     0   0    0    0    x     0   0   0     0   0     0   1   0     1    0    0    0    0      0    0   0000     #load_w,
    11    00010  |   1010     00       000      00       00      0   0  0   0     0   0    0    0    x     0   0   0     0   0     0   1   0     1    0    0    0    0      0    0   0000     #reserved,
    11    00011  |   1010     00       000      00       00      0   0  0   0     0   0    0    0    x     0   0   0     0   0     0   1   0     1    0    0    0    0      0    0   0000     #reserved,
    11    00100  |   1010     00       000      00       00      0   0  0   0     1   0    0    0    x     1   0   0     0   1     0   0   0     0    0    0    0    0      0    0   0000     #store_w,
    11    00101  |   1010     00       000      00       00      0   0  0   0     1   0    0    0    x     0   0   0     0   0     0   0   0     0    0    0    0    0      0    0   0000     #reserved,
    11    00110  |   1100     00       000      00       11      0   0  0   0     1   0    0    0    x     0   0   1     0   1     1   0   0     0    0    0    0    0      0    0   0000     #call_k1,
    11    00111  |   1100     00       000      00       11      0   0  0   0     1   0    0    0    x     0   0   1     1   0     1   0   0     0    0    0    0    0      0    0   0000     #call_r1,
    11    01000  |   1010     00       000      00       11      0   0  0   0     0   0    0    0    x     1   0   0     0   1     1   0   0     0    0    0    0    0      0    0   0000     #___call_r2,
    11    01001  |   1100     00       000      00       11      0   0  0   0     0   0    0    0    x     0   0   0     0   0     0   1   0     0    0    0    0    0      0    1   1010     #ret1,
    11    01010  |   1010     00       000      00       00      0   0  1   0     0   0    0    0    x     0   1   0     0   1     1   0   0     0    1    0    0    0      0    0   0000     #ret2,
    11    01011  |   1010     00       000      00       00      0   0  0   0     0   0    0    0    x     0   0   0     0   0     0   0   1     1    0    0    0    0      0    1   1100     #movw_pr_1,
    11    01100  |   1010     00       000      00       11      0   0  0   0     0   0    0    0    x     0   0   1     0   1     1   0   0     0    0    0    0    0      0    0   0000     #movw_pr_2
    11    01101  |   xxxx     00       000      00       00      0   0  0   0     0   0    0    0    0     x   x   x     x   x     0   0   0     0    0    0    0    0      0    0   0000     #
    11    01110  |   xxxx     00       000      00       00      0   0  0   0     0   0    0    0    0     x   x   x     x   x     0   0   0     0    0    0    0    0      0    0   0000     #
    11    01111  |   xxxx     00       000      00       00      0   0  0   0     0   0    0    0    0     x   x   x     x   x     0   0   0     0    0    0    0    0      0    0   0000     #
